Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148W","D_SOD-123",96.520000,-99.060000,90.000000,top
"D2","1N4148W","D_SOD-123",115.570000,-99.060000,90.000000,top
"D3","1N4148W","D_SOD-123",134.620000,-99.060000,90.000000,top
"D4","1N4148W","D_SOD-123",153.670000,-99.060000,90.000000,top
"D5","1N4148W","D_SOD-123",172.720000,-99.060000,90.000000,top
"D6","1N4148W","D_SOD-123",191.770000,-99.060000,90.000000,top
"RZ1","RP2040-Zero","RP2040-Zero",90.490000,-102.980000,90.000000,top
"SW1","MX_SW_HS","SW_MX_HS_1u",102.870000,-93.980000,0.000000,top
"SW2","MX_SW_HS","SW_MX_HS_1u",121.920000,-93.980000,0.000000,top
"SW3","MX_SW_HS","SW_MX_HS_1u",140.970000,-93.980000,0.000000,top
"SW4","MX_SW_HS","SW_MX_HS_1u",160.020000,-93.980000,0.000000,top
"SW5","MX_SW_HS","SW_MX_HS_1u",179.070000,-93.980000,0.000000,top
"SW6","MX_SW_HS","SW_MX_HS_1u",198.120000,-93.980000,0.000000,top
